Prefix,Country,ITU,CQ,Continent
1A0,MALTA MILITARY,28,15,EU
1S,SPRATLY ISLAND,50,26,AS
2,ENGLAND,27,14,EU
3A,MONACO,27,14,EU
3B6,AGALEGA,53,39,AF
3B7,AGALEGA,53,39,AF
3B8,MAURITIUS,53,39,AF
3B9,RODRIGUEZ,53,39,AF
3C0,EQ GUINEA - ANNOBON,52,36,AF
3C1,EQ GUINEA,47,36,AF
3C2,EQ GUINEA,47,36,AF
3C3,EQ GUINEA,47,36,AF
3C4,EQ GUINEA,47,36,AF
3C5,EQ GUINEA,47,36,AF
3C6,EQ GUINEA,47,36,AF
3C7,EQ GUINEA,47,36,AF
3C8,EQ GUINEA,47,36,AF
3C9,EQ GUINEA,37,"33,36",AF
3D2,FIJI,56,62,OC
3DA,SWAZILAND,57,38,AF
3E,PANAMA,11,7,NA
3F,PANAMA,11,7,NA
3G,CHILE,14,12,SA
3H,CHINA,"33,42,43,44","23,24",AS
3I,CHINA,"33,42,43,44","23,24",AS
3J,CHINA,"33,42,43,44","23,24",AS
3K,CHINA,"33,42,43,44","23,24",AS
3L,CHINA,"33,42,43,44","23,24",AS
3M,CHINA,"33,42,43,44","23,24",AS
3N,CHINA,"33,42,43,44","23,24",AS
3O,CHINA,"33,42,43,44","23,24",AS
3P,CHINA,"33,42,43,44","23,24",AS
3Q,CHINA,"33,42,43,44","23,24",AS
3R,CHINA,"33,42,43,44","23,24",AS
3S,CHINA,"33,42,43,44","23,24",AS
3T,CHINA,"33,42,43,44","23,24",AS
3U,CHINA,"33,42,43,44","23,24",AS
3V,TUNISIA,37,33,AF
3W,VIETNAM,49,26,AS
3X,GUINEA,46,35,AF
3Y,NORWAY,18,12,EU
3YB,BOUVET ISLAND,67,38,AF
3YP,PETER ISLAND,72,12,AN
3Z,POLAND,28,15,EU
4A,MEXICO,10,6,NA
4B,MEXICO,10,6,NA
4C,MEXICO,10,6,NA
4D,PHILIPINES,50,27,OC
4E,PHILIPINES,50,27,OC
4F,PHILIPINES,50,27,OC
4G,PHILIPINES,50,27,OC
4H,PHILIPINES,50,27,OC
4I,PHILIPINES,50,27,OC
4J,AZERBAIJAN,29,16,AS
4K,AZERBAIJAN,29,16,AS
4K2,FRANZ JOSEF,18,40,EU
4L,GEORGIA,29,16,AS
4M,VENEZUELA,12,9,SA
4N,YUGOSLAVIA,28,15,EU
4O,YUGOSLAVIA,28,15,EU
4P,SRI LANKA,41,22,AS
4Q,SRI LANKA,41,22,AS
4R,SRI LANKA,41,22,AS
4S,SRI LANKA,41,22,AS
4T,PERU,12,10,SA
4U1I,GENEVA,28,14,EU
4U1U,NEW YORK,8,5,NA
4V,HAITI,11,8,NA
4W,EAST TIMOR,54,28,OC
4X,ISRAEL,39,20,AS
4Z,ISRAEL,39,20,AS
5A,LIBYA,38,34,AF
5B,CYPRUS,39,20,AS
5C,MOROCCO,37,33,AF
5D,MOROCCO,37,33,AF
